Title,Type,Provider,Url,LocalPath,Description,WhySaved,Creator,LanguageCode,VersionText,EstimatedMinutes,Difficulty,Priority,Status,ProgressPercent,Tags
Linux Performance Optimization: Red Hat EX442,Course,O'Reilly,https://www.oreilly.com/videos/linux-performance-optimization/9780134985961/,,Bereits im Lernplan besprochener Linux-Performance-Kurs,Chat-derived Testdaten; Fortschritt ist Demo,Sander van Vugt,de,,,,Advanced,VeryHigh,Planned,,chat-derived;linux;performance;ex442
Red Hat Certified Specialist in Performance Tuning (EX442),Course,Udemy,https://www.udemy.com/course/red-hat-certified-specialist-in-performance-tuning-ex442,,Moderner EX442-Ergänzungskurs,Chat-derived Testdaten; Fortschritt ist Demo,,de,,,,Advanced,High,Planned,,chat-derived;linux;performance;ex442
Linux Diagnostics And Troubleshooting,Course,Udemy,https://www.udemy.com/course/linux-diagnostics-and-troubleshooting,,Troubleshooting-orientierte Ergänzung,Chat-derived Testdaten; Fortschritt ist Demo,,de,,,,Intermediate,High,Planned,,chat-derived;linux;troubleshooting
Using Linux Performance Tools,Course,O'Reilly,https://www.oreilly.com/videos/using-linux-performance/9781491996713/,,Performance-Tools-Training,Chat-derived Testdaten; Status ist Demo,,de,,,,Advanced,Normal,Started,25,chat-derived;linux;performance;perf
"Systems Performance: Enterprise and the Cloud, 2nd Edition",Book,Addison-Wesley Professional,https://www.brendangregg.com/systems-performance-2nd-edition-book.html,,Zentrale Performance-Referenz,Chat-derived Testdaten; Status ist Demo,Brendan Gregg,en,,,,Expert,VeryHigh,Planned,,chat-derived;linux;performance;use-method;ebpf
BPF Performance Tools,Book,Addison-Wesley Professional,,,eBPF/BPF-Performance-Referenz,Chat-derived Testdaten; Status ist Demo,Brendan Gregg,en,,,,Expert,High,Planned,,chat-derived;linux;ebpf;bpftrace
Linux Foundation Certified System Administrator,Course,O'Reilly,,,LFCS-Training,Chat-derived Testdaten; Status ist Demo,Sander van Vugt,en,,,,Intermediate,High,Planned,,chat-derived;linux;lfcs
"Linux Under the Hood, 2nd Edition",Course,O'Reilly,,,Linux-Internals als Virtualisierungsgrundlage,Chat-derived Testdaten; Status ist Demo,Sander van Vugt,en,,,,Advanced,High,Planned,,chat-derived;linux;internals;virtualization
Getting Started with eBPF: Improving Observability,Course,O'Reilly,,,eBPF-Observability-Ergänzung,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,Normal,Planned,,chat-derived;ebpf;observability
AI-Powered Linux Administration,Course,O'Reilly,,,AI-gestützte Linux-Administration,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,VeryHigh,Planned,,chat-derived;linux;ai;administration
AI for IT Operations,Course,O'Reilly,,,AIOps und Incident-Operations,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;aiops;observability;sre
Next-Level Linux System Administration with Claude Code,Course,Udemy,,,Claude Code im Sysadmin-Alltag,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,VeryHigh,Planned,,chat-derived;linux;claude-code;ansible;terraform;proxmox
Ultimate Agentic AI DevOps with Claude Code,Course,Udemy,,,Agentic DevOps und Guardrails,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;devops;claude-code;agents;guardrails
AI Assisted Ansible,Course,KodeKloud,,,AI-unterstütztes Ansible,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;ansible;ai;gitops
Agentic Coding with OpenAI Codex CLI,Course,O'Reilly,,,Codex-CLI Vertiefung,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;codex;agentic
Codex CLI – Agentic Engineering from First Principles,Book,Leanpub,https://leanpub.com/codex-cli,,Codex CLI Referenz,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;codex;agentic
Harness Engineering – leveraging Codex in an agent-first world,Article,OpenAI,,,Grundlage Harness Engineering,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,VeryHigh,Planned,,chat-derived;codex;harness;agentic
Harness Engineering for AI Agents,Course,O'Reilly,,,Harness-Engineering Kernressource,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,VeryHigh,Planned,,chat-derived;harness;agents
Eval-Driven Development for Reliable Agents,Course,O'Reilly,,,Evals für Agenten,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;evals;agents
Sandboxing an AI Agent,Course,O'Reilly,,,Sandboxing und Agent Security,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;sandbox;agent-security
Proxmox VE 9,Course,Udemy,,,Proxmox/Ceph Hauptkurs für Praxisvertiefung,Chat-derived Testdaten; Status ist Demo,Hadi Alnabriss,en,,,,Advanced,VeryHigh,Planned,,chat-derived;proxmox;ceph;cluster
Proxmox VE Advanced - Virtualization Hands-on,Course,Udemy,,,Fortgeschrittene Proxmox-Praxis,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Started,25,chat-derived;proxmox;ceph;ha;pbs;sdn
"Mastering Proxmox, Third Edition",Book,Packt,,,Proxmox-Referenz,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;proxmox
Ceph: Designing and Implementing Scalable Storage,Book,Packt,,,Ceph-Architektur und Storage,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;ceph;storage
Kubernetes in the Data Center,Course,O'Reilly,,,Kubernetes im Datacenter-Kontext,Chat-derived Testdaten; Status ist Demo,Vallard Benincosa,en,,,,Advanced,High,Planned,,chat-derived;kubernetes;datacenter
"OpenStack Certification, 2/e",Course,O'Reilly,,,OpenStack-Administration,Chat-derived Testdaten; Status ist Demo,Sander van Vugt,en,,,,Advanced,High,Planned,,chat-derived;openstack
Microsoft Azure Fundamentals (AZ-900) Certification,Course,O'Reilly,,,Azure-Grundlage,Chat-derived Testdaten; Status ist Demo,,en,,,,Beginner,High,Planned,,chat-derived;azure;az-900
AWS Certified Cloud Practitioner CLF-C02,Course,AWS Skill Builder,,,AWS-Grundlage,Chat-derived Testdaten; Status ist Demo,,en,,,,Beginner,High,Planned,,chat-derived;aws;clf-c02
Google Cloud Digital Leader,Course,Google / Google Skills,,,GCP-Grundlage mit Data/AI-Fokus,Chat-derived Testdaten; Status ist Demo,,en,,,,Beginner,Normal,Planned,,chat-derived;gcp;cloud-digital-leader
Practical Threat Detection Engineering,Book,O'Reilly,,,Detection-Engineering Referenz,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;blue-team;detection
Automating Security Detection Engineering,Book,O'Reilly,,,Automation für Detection Engineering,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;blue-team;detection;automation
"Blue Team Handbook: SOC, SIEM, and Threat Hunting",Book,O'Reilly,,,SOC/SIEM/Threat-Hunting Referenz,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;blue-team;soc;siem;threat-hunting
The Definitive Guide to KQL,Book,O'Reilly,,,KQL-Referenz,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;kql;siem;security
Blue Team Handbook: Incident Response,Book,O'Reilly,,,Incident-Response Referenz,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;blue-team;incident-response
Threat Hunting and Incident Response Bootcamp with Hands-On Labs,Course,O'Reilly,,,Defensive Hands-on Vertiefung,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;threat-hunting;incident-response
TryHackMe SOC Level 1,Course,TryHackMe,,,Praktischer SOC-Lernpfad,Chat-derived Testdaten; Status ist Demo,,en,,,,Intermediate,High,Planned,,chat-derived;soc;hands-on
Blue Team Level 1 (BTL1),Course,Security Blue Team,,,Defensive Zertifizierungs-/Praxisoption,Chat-derived Testdaten; Status ist Demo,,en,,,,Intermediate,High,Planned,,chat-derived;blue-team;soc
LLM Security Fundamentals: OWASP Top 10 Risks for Large Language Models,Course,O'Reilly,https://learning.oreilly.com/videos/-/9781808084270/,,LLM-Security Kernressource,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,VeryHigh,Planned,,chat-derived;llm-security;owasp
AI Security and Responsible AI Practices,Course,O'Reilly,,,AI-Security Kernpfad,Chat-derived Testdaten; Status ist Demo,Omar Santos; Petar Radanliev,en,,,,Advanced,High,Planned,,chat-derived;ai-security;responsible-ai
Three Essentials for Agentic AI Security,Course,O'Reilly,,,Agentic-Security Kernbaustein,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;agent-security
OPNsense Firewall: Complete Guide to Network Security,Course,Udemy,https://www.udemy.com/course/opnsense-firewall-complete-guide-to-network-security/,,OPNsense Videooption,Chat-derived Testdaten; Status ist Demo,,en,,,,Intermediate,High,Planned,,chat-derived;opnsense;firewall
pfSense 2.4.4: Open Source Firewall,Course,O'Reilly,,,Transferwissen Firewall-Administration,Chat-derived Testdaten; Status ist Demo,,en,,,,Intermediate,High,Planned,,chat-derived;pfsense;firewall
DevOps Complete Course,Course,O'Reilly,https://learning.oreilly.com/course/devops-complete-course/9781804615508/,,DevOps-Strategie und Tools,Chat-derived Testdaten; Status ist Demo,,en,,,,Intermediate,VeryHigh,Planned,,chat-derived;devops;strategy;tools
MERN Essential Training,Course,LinkedIn Learning,,,MERN-Auffrischung,Chat-derived Testdaten; Status ist Demo,,en,,,,Intermediate,High,Planned,,chat-derived;mern
Integrating Generative AI into JavaScript Web Projects,Course,LinkedIn Learning,,,Generative AI in JavaScript,Chat-derived Testdaten; Status ist Demo,,en,,,,Intermediate,High,Planned,,chat-derived;javascript;genai
Developing RAG Apps with LlamaIndex and JS [Video],Course,O'Reilly,,,RAG mit JavaScript,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,High,Planned,,chat-derived;rag;javascript
Google Data Analytics Professional Certificate,Course,Coursera,,,Breite Data-Analytics-Option,Chat-derived Testdaten; Status ist Demo,,en,,,,Intermediate,Normal,Planned,,chat-derived;data-analytics;certificate
Python for DevOps,Course,O'Reilly,,,Python für DevOps,Chat-derived Testdaten; Status ist Demo,,en,,,,Intermediate,High,Planned,,chat-derived;python;devops
Hands-on Python for MLOps,Course,O'Reilly,,,Python/MLOps Vertiefung,Chat-derived Testdaten; Status ist Demo,,en,,,,Advanced,Normal,Planned,,chat-derived;python;mlops
"Scrum Fundamentals LiveLessons, 2nd Edition",Course,O'Reilly,,,Primäre Scrum-Videoempfehlung,Chat-derived Testdaten; Status ist Demo,Tommy Norman,en,,,,Intermediate,VeryHigh,Planned,,chat-derived;scrum
[DEMO] 3-Node Proxmox/Ceph-Lab,Lab,Eigene Quelle,,,Synthetisches Lab aus realem Lernziel,Synthetische Testressource; keine reale Durchführung behauptet,,de,,,,Advanced,High,Planned,,chat-derived;demo;proxmox;ceph;ha
[DEMO] SASD Docker Compose DNS-Stack mit dnsmasq,Lab,Eigene Quelle,,,Synthetisches Docker-Lab aus realem Vorhaben,Synthetische Testressource; keine reale Durchführung behauptet,,de,,,,Intermediate,High,Planned,,chat-derived;demo;docker;compose;dns
[DEMO] OPNsense Segmentierung/VPN-Lab,Lab,Eigene Quelle,,,Synthetisches Firewall-Lab aus realem Lernziel,Synthetische Testressource; keine reale Durchführung behauptet,,de,,,,Intermediate,High,Planned,,chat-derived;demo;opnsense;vpn;firewall
[DEMO] Agentic-Administration Guardrail Lab,Lab,Eigene Quelle,,,Synthetisches Agentic-Administration Lab,Synthetische Testressource; keine reale Durchführung behauptet,,de,,,,Advanced,High,Planned,,chat-derived;demo;codex;permissions;approval;rollback
